"Story","Title","Result","Date","Stability","Duration (s)"
"Stores CURD test with steps","This test will create a new stores and verify its generated","SUCCESS","2022-01-11T00:00:10.343Z[Europe/London]","0.0","0.32"
"Stores CURD test with steps","This test will get the stores information by ID","SUCCESS","2022-01-11T00:00:10.665Z[Europe/London]","0.0","0.04"
"Stores CURD test with steps","This test will update the store information and verify the updated information","SUCCESS","2022-01-11T00:00:10.707Z[Europe/London]","0.0","0.36"
"Stores CURD test with steps","This test will delete the store and verify the store is deleted ","SUCCESS","2022-01-11T00:00:11.068Z[Europe/London]","0.0","0.24"
